# scorer=cert energy=eta K=3 N=1000 M=4150 seed=1 r=0.9 lookahead_k=4
step,vertex,dir,converged,sigma_after,eta_after,chosen
0,421,1,1,9.53382029,1,0
0,421,0,1,8.860015741,16,0
0,697,0,1,9.53382029,1,0
0,697,1,1,8.389848373,22,0
0,579,1,1,9.53382029,1,1
0,579,0,1,8.694061582,20,0
0,55,0,1,9.53376641,1,0
0,55,1,1,8.235557254,24,0
2,421,1,1,9.533197475,0,0
2,421,0,1,8.859859544,16,0
2,579,1,1,9.533197475,0,1
2,579,0,1,8.6940646,20,0
2,697,0,1,9.533197475,0,0
2,697,1,1,8.389751768,22,0
2,55,0,1,9.532743322,1,0
2,55,1,1,8.235652866,24,0
4,421,1,1,9.533033203,0,0
4,421,0,1,8.8597848,16,0
4,579,1,1,9.533033203,0,1
4,579,0,1,8.693989138,20,0
4,697,0,1,9.533033203,0,0
4,697,1,1,8.38973001,22,0
4,55,0,1,9.533222268,1,0
4,55,1,1,8.235665937,24,0
6,421,1,1,9.533321823,0,0
6,421,0,1,8.859889016,16,0
6,579,1,1,9.533321823,0,0
6,579,0,1,8.694066248,20,0
6,697,0,1,9.533321823,0,1
6,697,1,1,8.389662875,22,0
6,55,0,1,9.533147672,1,0
6,55,1,1,8.235714862,24,0
8,421,1,1,9.532967653,0,1
8,421,0,1,8.859954235,16,0
8,697,0,1,9.532967653,0,0
8,697,1,1,8.389732269,22,0
8,579,1,1,9.532967653,0,0
8,579,0,1,8.694158096,20,0
8,55,0,1,9.533080653,1,0
8,55,1,1,8.235652281,24,0
10,697,0,1,9.533045507,0,0
10,697,1,1,8.389757055,22,0
10,421,1,1,9.533045507,0,1
10,421,0,1,8.859968528,16,0
10,579,1,1,9.533045507,0,0
10,579,0,1,8.694017814,20,0
10,55,0,1,9.533167615,1,0
10,55,1,1,8.235576789,24,0
12,697,0,1,9.533149422,0,1
12,697,1,1,8.38977211,22,0
12,421,1,1,9.533149422,0,0
12,421,0,1,8.859918139,16,0
12,579,1,1,9.533149422,0,0
12,579,0,1,8.694037637,20,0
12,55,0,1,9.533100507,1,0
12,55,1,1,8.235614955,24,0
14,421,1,1,9.533113537,0,1
14,421,0,1,8.859901638,16,0
14,697,0,1,9.533113537,0,0
14,697,1,1,8.38974122,22,0
14,579,1,1,9.533113537,0,0
14,579,0,1,8.69400045,20,0
14,55,0,1,9.533036148,1,0
14,55,1,1,8.235615591,24,0
16,697,0,1,9.533137654,0,0
16,697,1,1,8.389723761,22,0
16,421,1,1,9.533137654,0,1
16,421,0,1,8.85985702,16,0
16,579,1,1,9.533137654,0,0
16,579,0,1,8.694029236,20,0
16,55,0,1,9.533094192,1,0
16,55,1,1,8.235667809,24,0
17,579,1,1,9.533149218,0,0
17,579,0,1,8.694065405,20,0
17,697,0,1,9.533149218,0,1
17,697,1,1,8.389701421,22,0
17,55,0,1,9.533096095,1,0
17,55,1,1,8.235664119,24,0
17,770,1,1,9.532494664,1,0
17,770,0,1,8.13226659,24,0
19,579,1,1,9.533133673,0,1
19,579,0,1,8.694078032,20,0
19,697,0,1,9.533133673,0,0
19,697,1,1,8.389726819,22,0
19,55,0,1,9.533069298,1,0
19,55,1,1,8.235640736,24,0
19,770,1,1,9.532467298,1,0
19,770,0,1,8.132274409,24,0
21,697,0,1,9.533119933,0,1
21,697,1,1,8.389749181,22,0
21,579,1,1,9.533119933,0,0
